WARNING:root:Using categorical_feature in Dataset.
WARNING:root:categorical_feature in Dataset is overridden.
New categorical_feature is ['promotion_flag', 'prop_brand_bool', 'prop_country_id', 'site_id']
INFO:root:[LightGBM] [Warning] min_data_in_leaf is set=4400, min_child_samples=20 will be ignored. Current value: min_data_in_leaf=4400
WARNING:root:Overriding the parameters from Reference Dataset.
WARNING:root:categorical_column in param dict is overridden.
INFO:root:[108]	valid_0's ndcg@5: 0.401398
INFO:root:[109]	valid_0's ndcg@5: 0.401495
INFO:root:[110]	valid_0's ndcg@5: 0.40172
INFO:root:[111]	valid_0's ndcg@5: 0.402049
INFO:root:[112]	valid_0's ndcg@5: 0.40234
INFO:root:[113]	valid_0's ndcg@5: 0.402781
INFO:root:[114]	valid_0's ndcg@5: 0.402571
INFO:root:[115]	valid_0's ndcg@5: 0.402643
INFO:root:[116]	valid_0's ndcg@5: 0.402585
INFO:root:[117]	valid_0's ndcg@5: 0.40263
INFO:root:[118]	valid_0's ndcg@5: 0.402512
INFO:root:[119]	valid_0's ndcg@5: 0.40267
INFO:root:[120]	valid_0's ndcg@5: 0.402836
INFO:root:[121]	valid_0's ndcg@5: 0.40279
INFO:root:[122]	valid_0's ndcg@5: 0.402942
INFO:root:[123]	valid_0's ndcg@5: 0.403359
INFO:root:[124]	valid_0's ndcg@5: 0.403397
INFO:root:[125]	valid_0's ndcg@5: 0.40385
INFO:root:[126]	valid_0's ndcg@5: 0.403428
INFO:root:[127]	valid_0's ndcg@5: 0.403842
INFO:root:[128]	valid_0's ndcg@5: 0.404136
INFO:root:[129]	valid_0's ndcg@5: 0.404146
INFO:root:[130]	valid_0's ndcg@5: 0.404176
INFO:root:[131]	valid_0's ndcg@5: 0.404261
INFO:root:[132]	valid_0's ndcg@5: 0.404124
INFO:root:[133]	valid_0's ndcg@5: 0.4043
INFO:root:[134]	valid_0's ndcg@5: 0.404528
INFO:root:[135]	valid_0's ndcg@5: 0.404577
INFO:root:[136]	valid_0's ndcg@5: 0.40526
INFO:root:[137]	valid_0's ndcg@5: 0.405085
INFO:root:[138]	valid_0's ndcg@5: 0.405044
INFO:root:[139]	valid_0's ndcg@5: 0.405104
INFO:root:[140]	valid_0's ndcg@5: 0.405038
INFO:root:[141]	valid_0's ndcg@5: 0.405366
INFO:root:[142]	valid_0's ndcg@5: 0.405474
INFO:root:[143]	valid_0's ndcg@5: 0.405474
INFO:root:[144]	valid_0's ndcg@5: 0.405419
INFO:root:[145]	valid_0's ndcg@5: 0.405444
INFO:root:[146]	valid_0's ndcg@5: 0.405606
INFO:root:[147]	valid_0's ndcg@5: 0.406072
INFO:root:[148]	valid_0's ndcg@5: 0.406128
INFO:root:[149]	valid_0's ndcg@5: 0.406199
INFO:root:[150]	valid_0's ndcg@5: 0.406201
INFO:root:[151]	valid_0's ndcg@5: 0.406297
INFO:root:[152]	valid_0's ndcg@5: 0.406238
INFO:root:[153]	valid_0's ndcg@5: 0.406366
INFO:root:[154]	valid_0's ndcg@5: 0.406376
INFO:root:[155]	valid_0's ndcg@5: 0.406743
INFO:root:[156]	valid_0's ndcg@5: 0.406611
INFO:root:[157]	valid_0's ndcg@5: 0.406559
INFO:root:[158]	valid_0's ndcg@5: 0.406768
INFO:root:[159]	valid_0's ndcg@5: 0.406916
INFO:root:[160]	valid_0's ndcg@5: 0.406848
INFO:root:[161]	valid_0's ndcg@5: 0.40697
INFO:root:[162]	valid_0's ndcg@5: 0.407118
INFO:root:[163]	valid_0's ndcg@5: 0.407664
INFO:root:[164]	valid_0's ndcg@5: 0.407652
INFO:root:[165]	valid_0's ndcg@5: 0.407753
INFO:root:[166]	valid_0's ndcg@5: 0.407734
INFO:root:[167]	valid_0's ndcg@5: 0.407385
INFO:root:[168]	valid_0's ndcg@5: 0.407567
INFO:root:[169]	valid_0's ndcg@5: 0.407932
INFO:root:[170]	valid_0's ndcg@5: 0.407847
INFO:root:[171]	valid_0's ndcg@5: 0.407948
INFO:root:[172]	valid_0's ndcg@5: 0.407913
INFO:root:[173]	valid_0's ndcg@5: 0.407828
INFO:root:[174]	valid_0's ndcg@5: 0.407991
INFO:root:[175]	valid_0's ndcg@5: 0.407895
INFO:root:[176]	valid_0's ndcg@5: 0.408086
INFO:root:[177]	valid_0's ndcg@5: 0.408074
INFO:root:[178]	valid_0's ndcg@5: 0.408289
INFO:root:[179]	valid_0's ndcg@5: 0.407764
INFO:root:[180]	valid_0's ndcg@5: 0.407624
INFO:root:[181]	valid_0's ndcg@5: 0.407681
INFO:root:[182]	valid_0's ndcg@5: 0.407853
INFO:root:[183]	valid_0's ndcg@5: 0.407904
INFO:root:[184]	valid_0's ndcg@5: 0.407974
INFO:root:[185]	valid_0's ndcg@5: 0.408059
INFO:root:[186]	valid_0's ndcg@5: 0.408088
INFO:root:[187]	valid_0's ndcg@5: 0.408066
INFO:root:[188]	valid_0's ndcg@5: 0.408431
INFO:root:[189]	valid_0's ndcg@5: 0.408573
INFO:root:[190]	valid_0's ndcg@5: 0.408209
INFO:root:[191]	valid_0's ndcg@5: 0.408372
INFO:root:[192]	valid_0's ndcg@5: 0.408419
INFO:root:[193]	valid_0's ndcg@5: 0.408363
INFO:root:[194]	valid_0's ndcg@5: 0.408291
INFO:root:[195]	valid_0's ndcg@5: 0.408704
INFO:root:[196]	valid_0's ndcg@5: 0.408449
INFO:root:[197]	valid_0's ndcg@5: 0.408557
INFO:root:[198]	valid_0's ndcg@5: 0.408554
INFO:root:[199]	valid_0's ndcg@5: 0.408398
INFO:root:[200]	valid_0's ndcg@5: 0.408733
INFO:root:[201]	valid_0's ndcg@5: 0.408771
INFO:root:[202]	valid_0's ndcg@5: 0.408796
INFO:root:[203]	valid_0's ndcg@5: 0.409006
INFO:root:[204]	valid_0's ndcg@5: 0.409248
INFO:root:[205]	valid_0's ndcg@5: 0.409218
INFO:root:[206]	valid_0's ndcg@5: 0.409428
INFO:root:[207]	valid_0's ndcg@5: 0.409449
INFO:root:[208]	valid_0's ndcg@5: 0.409542
INFO:root:[209]	valid_0's ndcg@5: 0.40937
INFO:root:[210]	valid_0's ndcg@5: 0.409294
INFO:root:[211]	valid_0's ndcg@5: 0.409419
INFO:root:[212]	valid_0's ndcg@5: 0.409398
INFO:root:[213]	valid_0's ndcg@5: 0.409208
INFO:root:[214]	valid_0's ndcg@5: 0.408997
INFO:root:[215]	valid_0's ndcg@5: 0.409044
INFO:root:[216]	valid_0's ndcg@5: 0.408871
INFO:root:[217]	valid_0's ndcg@5: 0.408645
INFO:root:[218]	valid_0's ndcg@5: 0.408612
INFO:root:[219]	valid_0's ndcg@5: 0.408752
INFO:root:[220]	valid_0's ndcg@5: 0.40925
INFO:root:[221]	valid_0's ndcg@5: 0.408883
INFO:root:[222]	valid_0's ndcg@5: 0.409215
INFO:root:[223]	valid_0's ndcg@5: 0.409368
INFO:root:[224]	valid_0's ndcg@5: 0.4094
INFO:root:[225]	valid_0's ndcg@5: 0.409612
INFO:root:[226]	valid_0's ndcg@5: 0.409687
INFO:root:[227]	valid_0's ndcg@5: 0.409871
INFO:root:[228]	valid_0's ndcg@5: 0.409767
INFO:root:[229]	valid_0's ndcg@5: 0.409638
INFO:root:[230]	valid_0's ndcg@5: 0.409653
INFO:root:[231]	valid_0's ndcg@5: 0.409701
INFO:root:[232]	valid_0's ndcg@5: 0.410201
INFO:root:[233]	valid_0's ndcg@5: 0.410243
INFO:root:[234]	valid_0's ndcg@5: 0.41048
INFO:root:[235]	valid_0's ndcg@5: 0.410344
INFO:root:[236]	valid_0's ndcg@5: 0.410325
INFO:root:[237]	valid_0's ndcg@5: 0.410272
INFO:root:[238]	valid_0's ndcg@5: 0.410176
INFO:root:[239]	valid_0's ndcg@5: 0.410299
INFO:root:[240]	valid_0's ndcg@5: 0.41048
INFO:root:[241]	valid_0's ndcg@5: 0.410294
INFO:root:[242]	valid_0's ndcg@5: 0.410314
INFO:root:[243]	valid_0's ndcg@5: 0.410317
INFO:root:[244]	valid_0's ndcg@5: 0.410406
INFO:root:[245]	valid_0's ndcg@5: 0.410513
INFO:root:[246]	valid_0's ndcg@5: 0.410345
INFO:root:[247]	valid_0's ndcg@5: 0.410401
INFO:root:[248]	valid_0's ndcg@5: 0.410273
INFO:root:[249]	valid_0's ndcg@5: 0.410472
INFO:root:[250]	valid_0's ndcg@5: 0.410783
INFO:root:[251]	valid_0's ndcg@5: 0.410794
INFO:root:[252]	valid_0's ndcg@5: 0.410768
INFO:root:[253]	valid_0's ndcg@5: 0.411041
INFO:root:[254]	valid_0's ndcg@5: 0.410797
INFO:root:[255]	valid_0's ndcg@5: 0.410754
INFO:root:[256]	valid_0's ndcg@5: 0.410561
INFO:root:[257]	valid_0's ndcg@5: 0.410863
INFO:root:[258]	valid_0's ndcg@5: 0.411029
INFO:root:[259]	valid_0's ndcg@5: 0.410743
INFO:root:[260]	valid_0's ndcg@5: 0.410897
INFO:root:[261]	valid_0's ndcg@5: 0.41081
INFO:root:[262]	valid_0's ndcg@5: 0.410529
INFO:root:[263]	valid_0's ndcg@5: 0.410315
INFO:root:[264]	valid_0's ndcg@5: 0.410387
INFO:root:[265]	valid_0's ndcg@5: 0.410639
INFO:root:[266]	valid_0's ndcg@5: 0.410607
INFO:root:[267]	valid_0's ndcg@5: 0.410881
INFO:root:[268]	valid_0's ndcg@5: 0.410714
INFO:root:[269]	valid_0's ndcg@5: 0.410666
INFO:root:[270]	valid_0's ndcg@5: 0.410911
INFO:root:[271]	valid_0's ndcg@5: 0.410789
INFO:root:[272]	valid_0's ndcg@5: 0.410545
INFO:root:[273]	valid_0's ndcg@5: 0.410391
INFO:root:[274]	valid_0's ndcg@5: 0.41033
INFO:root:[275]	valid_0's ndcg@5: 0.410614
INFO:root:[276]	valid_0's ndcg@5: 0.410624
INFO:root:[277]	valid_0's ndcg@5: 0.410648
INFO:root:[278]	valid_0's ndcg@5: 0.410662
INFO:root:[279]	valid_0's ndcg@5: 0.411033
INFO:root:[280]	valid_0's ndcg@5: 0.410931
INFO:root:[281]	valid_0's ndcg@5: 0.411082
INFO:root:[282]	valid_0's ndcg@5: 0.411165
INFO:root:[283]	valid_0's ndcg@5: 0.411656
INFO:root:[284]	valid_0's ndcg@5: 0.411294
INFO:root:[285]	valid_0's ndcg@5: 0.411593
INFO:root:[286]	valid_0's ndcg@5: 0.411621
INFO:root:[287]	valid_0's ndcg@5: 0.411709
INFO:root:[288]	valid_0's ndcg@5: 0.412029
INFO:root:[289]	valid_0's ndcg@5: 0.411841
INFO:root:[290]	valid_0's ndcg@5: 0.411967
INFO:root:[291]	valid_0's ndcg@5: 0.411983
INFO:root:[292]	valid_0's ndcg@5: 0.411896
INFO:root:[293]	valid_0's ndcg@5: 0.412028
INFO:root:[294]	valid_0's ndcg@5: 0.411832
INFO:root:[295]	valid_0's ndcg@5: 0.412079
INFO:root:[296]	valid_0's ndcg@5: 0.412007
INFO:root:[297]	valid_0's ndcg@5: 0.411786
INFO:root:[298]	valid_0's ndcg@5: 0.411743
INFO:root:[299]	valid_0's ndcg@5: 0.411649
INFO:root:[300]	valid_0's ndcg@5: 0.411421
INFO:root:[301]	valid_0's ndcg@5: 0.411702
INFO:root:[302]	valid_0's ndcg@5: 0.411614
INFO:root:[303]	valid_0's ndcg@5: 0.411265
INFO:root:[304]	valid_0's ndcg@5: 0.411353
INFO:root:[305]	valid_0's ndcg@5: 0.41142
INFO:root:[306]	valid_0's ndcg@5: 0.41176
INFO:root:[307]	valid_0's ndcg@5: 0.411797
INFO:root:[308]	valid_0's ndcg@5: 0.411837
INFO:root:[309]	valid_0's ndcg@5: 0.411971
INFO:root:[310]	valid_0's ndcg@5: 0.411979
INFO:root:[311]	valid_0's ndcg@5: 0.411743
INFO:root:[312]	valid_0's ndcg@5: 0.412415
INFO:root:[313]	valid_0's ndcg@5: 0.412231
INFO:root:[314]	valid_0's ndcg@5: 0.412227
INFO:root:[315]	valid_0's ndcg@5: 0.412387
INFO:root:[316]	valid_0's ndcg@5: 0.412353
INFO:root:[317]	valid_0's ndcg@5: 0.412358
INFO:root:[318]	valid_0's ndcg@5: 0.412649
INFO:root:[319]	valid_0's ndcg@5: 0.412946
INFO:root:[320]	valid_0's ndcg@5: 0.412782
INFO:root:[321]	valid_0's ndcg@5: 0.412919
INFO:root:[322]	valid_0's ndcg@5: 0.413089
INFO:root:[323]	valid_0's ndcg@5: 0.413152
INFO:root:[324]	valid_0's ndcg@5: 0.412942
INFO:root:[325]	valid_0's ndcg@5: 0.413116
INFO:root:[326]	valid_0's ndcg@5: 0.413281
INFO:root:[327]	valid_0's ndcg@5: 0.41324
INFO:root:[328]	valid_0's ndcg@5: 0.413529
INFO:root:[329]	valid_0's ndcg@5: 0.413377
INFO:root:[330]	valid_0's ndcg@5: 0.413328
INFO:root:[331]	valid_0's ndcg@5: 0.413397
INFO:root:[332]	valid_0's ndcg@5: 0.413459
INFO:root:[333]	valid_0's ndcg@5: 0.413331
INFO:root:[334]	valid_0's ndcg@5: 0.413259
INFO:root:[335]	valid_0's ndcg@5: 0.413015
INFO:root:[336]	valid_0's ndcg@5: 0.412902
INFO:root:[337]	valid_0's ndcg@5: 0.413129
INFO:root:[338]	valid_0's ndcg@5: 0.413061
INFO:root:[339]	valid_0's ndcg@5: 0.413044
INFO:root:[340]	valid_0's ndcg@5: 0.413104
INFO:root:[341]	valid_0's ndcg@5: 0.413091
INFO:root:[342]	valid_0's ndcg@5: 0.413348
INFO:root:[343]	valid_0's ndcg@5: 0.413481
INFO:root:[344]	valid_0's ndcg@5: 0.413341
INFO:root:[345]	valid_0's ndcg@5: 0.413489
INFO:root:[346]	valid_0's ndcg@5: 0.41342
INFO:root:[347]	valid_0's ndcg@5: 0.413175
INFO:root:[348]	valid_0's ndcg@5: 0.413144
INFO:root:[349]	valid_0's ndcg@5: 0.413309
INFO:root:[350]	valid_0's ndcg@5: 0.413064
INFO:root:[351]	valid_0's ndcg@5: 0.413182
INFO:root:[352]	valid_0's ndcg@5: 0.413113
INFO:root:[353]	valid_0's ndcg@5: 0.41326
INFO:root:[354]	valid_0's ndcg@5: 0.413448
INFO:root:[355]	valid_0's ndcg@5: 0.413277
INFO:root:[356]	valid_0's ndcg@5: 0.413239
INFO:root:[357]	valid_0's ndcg@5: 0.413224
INFO:root:[358]	valid_0's ndcg@5: 0.413308
INFO:root:[359]	valid_0's ndcg@5: 0.413285
INFO:root:[360]	valid_0's ndcg@5: 0.413371
INFO:root:[361]	valid_0's ndcg@5: 0.41329
INFO:root:[362]	valid_0's ndcg@5: 0.413356
INFO:root:[363]	valid_0's ndcg@5: 0.413543
INFO:root:[364]	valid_0's ndcg@5: 0.41352
INFO:root:[365]	valid_0's ndcg@5: 0.413707
INFO:root:[366]	valid_0's ndcg@5: 0.41373
INFO:root:[367]	valid_0's ndcg@5: 0.41376
