INFO:root:[LightGBM] [Warning] min_data_in_leaf is set=2800, min_child_samples=20 will be ignored. Current value: min_data_in_leaf=2800
INFO:root:[LightGBM] [Warning] min_gain_to_split is set=10.216909417532309, min_split_gain=0.0 will be ignored. Current value: min_gain_to_split=10.216909417532309
INFO:root:[110]	valid_0's ndcg@5: 0.383544
INFO:root:[111]	valid_0's ndcg@5: 0.383804
INFO:root:[112]	valid_0's ndcg@5: 0.383935
INFO:root:[113]	valid_0's ndcg@5: 0.383622
INFO:root:[114]	valid_0's ndcg@5: 0.38373
INFO:root:[115]	valid_0's ndcg@5: 0.383715
INFO:root:[116]	valid_0's ndcg@5: 0.384243
INFO:root:[117]	valid_0's ndcg@5: 0.384504
INFO:root:[118]	valid_0's ndcg@5: 0.384494
INFO:root:[119]	valid_0's ndcg@5: 0.384838
INFO:root:[120]	valid_0's ndcg@5: 0.385038
INFO:root:[121]	valid_0's ndcg@5: 0.384891
INFO:root:[122]	valid_0's ndcg@5: 0.384956
INFO:root:[123]	valid_0's ndcg@5: 0.385437
INFO:root:[124]	valid_0's ndcg@5: 0.385434
INFO:root:[125]	valid_0's ndcg@5: 0.385588
INFO:root:[126]	valid_0's ndcg@5: 0.385434
INFO:root:[127]	valid_0's ndcg@5: 0.385899
INFO:root:[128]	valid_0's ndcg@5: 0.385875
INFO:root:[129]	valid_0's ndcg@5: 0.385952
INFO:root:[130]	valid_0's ndcg@5: 0.385792
INFO:root:[131]	valid_0's ndcg@5: 0.385912
INFO:root:[132]	valid_0's ndcg@5: 0.385841
INFO:root:[133]	valid_0's ndcg@5: 0.386111
INFO:root:[134]	valid_0's ndcg@5: 0.38623
INFO:root:[135]	valid_0's ndcg@5: 0.386288
INFO:root:[136]	valid_0's ndcg@5: 0.386026
INFO:root:[137]	valid_0's ndcg@5: 0.386539
INFO:root:[138]	valid_0's ndcg@5: 0.386679
INFO:root:[139]	valid_0's ndcg@5: 0.386477
INFO:root:[140]	valid_0's ndcg@5: 0.386556
INFO:root:[141]	valid_0's ndcg@5: 0.386738
INFO:root:[142]	valid_0's ndcg@5: 0.386555
INFO:root:[143]	valid_0's ndcg@5: 0.386716
INFO:root:[144]	valid_0's ndcg@5: 0.386676
INFO:root:[145]	valid_0's ndcg@5: 0.386538
INFO:root:[146]	valid_0's ndcg@5: 0.386655
INFO:root:[147]	valid_0's ndcg@5: 0.386727
INFO:root:[148]	valid_0's ndcg@5: 0.386953
INFO:root:[149]	valid_0's ndcg@5: 0.386778
INFO:root:[150]	valid_0's ndcg@5: 0.387051
INFO:root:[151]	valid_0's ndcg@5: 0.386919
INFO:root:[152]	valid_0's ndcg@5: 0.386917
INFO:root:[153]	valid_0's ndcg@5: 0.386969
INFO:root:[154]	valid_0's ndcg@5: 0.387193
INFO:root:[155]	valid_0's ndcg@5: 0.387109
INFO:root:[156]	valid_0's ndcg@5: 0.387504
INFO:root:[157]	valid_0's ndcg@5: 0.387557
INFO:root:[158]	valid_0's ndcg@5: 0.387465
INFO:root:[159]	valid_0's ndcg@5: 0.387697
INFO:root:[160]	valid_0's ndcg@5: 0.387863
INFO:root:[161]	valid_0's ndcg@5: 0.387746
INFO:root:[162]	valid_0's ndcg@5: 0.387671
INFO:root:[163]	valid_0's ndcg@5: 0.387545
INFO:root:[164]	valid_0's ndcg@5: 0.387763
INFO:root:[165]	valid_0's ndcg@5: 0.38763
INFO:root:[166]	valid_0's ndcg@5: 0.387366
INFO:root:[167]	valid_0's ndcg@5: 0.387668
INFO:root:[168]	valid_0's ndcg@5: 0.387709
INFO:root:[169]	valid_0's ndcg@5: 0.387909
INFO:root:[170]	valid_0's ndcg@5: 0.387838
INFO:root:[171]	valid_0's ndcg@5: 0.387863
INFO:root:[172]	valid_0's ndcg@5: 0.387985
INFO:root:[173]	valid_0's ndcg@5: 0.387893
INFO:root:[174]	valid_0's ndcg@5: 0.388172
INFO:root:[175]	valid_0's ndcg@5: 0.38812
INFO:root:[176]	valid_0's ndcg@5: 0.388161
INFO:root:[177]	valid_0's ndcg@5: 0.387943
INFO:root:[178]	valid_0's ndcg@5: 0.387855
INFO:root:[179]	valid_0's ndcg@5: 0.387801
INFO:root:[180]	valid_0's ndcg@5: 0.387986
INFO:root:[181]	valid_0's ndcg@5: 0.387988
INFO:root:[182]	valid_0's ndcg@5: 0.388025
INFO:root:[183]	valid_0's ndcg@5: 0.387955
INFO:root:[184]	valid_0's ndcg@5: 0.387905
INFO:root:[185]	valid_0's ndcg@5: 0.388067
INFO:root:[186]	valid_0's ndcg@5: 0.388296
INFO:root:[187]	valid_0's ndcg@5: 0.388367
INFO:root:[188]	valid_0's ndcg@5: 0.38839
INFO:root:[189]	valid_0's ndcg@5: 0.388286
INFO:root:[190]	valid_0's ndcg@5: 0.388324
INFO:root:[191]	valid_0's ndcg@5: 0.388393
INFO:root:[192]	valid_0's ndcg@5: 0.388487
INFO:root:[193]	valid_0's ndcg@5: 0.388724
INFO:root:[194]	valid_0's ndcg@5: 0.388589
INFO:root:[195]	valid_0's ndcg@5: 0.388809
INFO:root:[196]	valid_0's ndcg@5: 0.388729
INFO:root:[197]	valid_0's ndcg@5: 0.388914
INFO:root:[198]	valid_0's ndcg@5: 0.388819
INFO:root:[199]	valid_0's ndcg@5: 0.388851
INFO:root:[200]	valid_0's ndcg@5: 0.389022
INFO:root:[201]	valid_0's ndcg@5: 0.38909
INFO:root:[202]	valid_0's ndcg@5: 0.389229
INFO:root:[203]	valid_0's ndcg@5: 0.389278
INFO:root:[204]	valid_0's ndcg@5: 0.389359
INFO:root:[205]	valid_0's ndcg@5: 0.389257
INFO:root:[206]	valid_0's ndcg@5: 0.389269
INFO:root:[207]	valid_0's ndcg@5: 0.389365
INFO:root:[208]	valid_0's ndcg@5: 0.389468
INFO:root:[209]	valid_0's ndcg@5: 0.38956
INFO:root:[210]	valid_0's ndcg@5: 0.389396
INFO:root:[211]	valid_0's ndcg@5: 0.389509
INFO:root:[212]	valid_0's ndcg@5: 0.389494
INFO:root:[213]	valid_0's ndcg@5: 0.389599
INFO:root:[214]	valid_0's ndcg@5: 0.389417
INFO:root:[215]	valid_0's ndcg@5: 0.38951
INFO:root:[216]	valid_0's ndcg@5: 0.389426
INFO:root:[217]	valid_0's ndcg@5: 0.389472
INFO:root:[218]	valid_0's ndcg@5: 0.389505
INFO:root:[219]	valid_0's ndcg@5: 0.389471
INFO:root:[220]	valid_0's ndcg@5: 0.389489
INFO:root:[221]	valid_0's ndcg@5: 0.389451
INFO:root:[222]	valid_0's ndcg@5: 0.389415
INFO:root:[223]	valid_0's ndcg@5: 0.389401
INFO:root:[224]	valid_0's ndcg@5: 0.389284
INFO:root:[225]	valid_0's ndcg@5: 0.389137
INFO:root:[226]	valid_0's ndcg@5: 0.389395
INFO:root:[227]	valid_0's ndcg@5: 0.389292
INFO:root:[228]	valid_0's ndcg@5: 0.38921
INFO:root:[229]	valid_0's ndcg@5: 0.389199
INFO:root:[230]	valid_0's ndcg@5: 0.389292
INFO:root:[231]	valid_0's ndcg@5: 0.389252
INFO:root:[232]	valid_0's ndcg@5: 0.389468
INFO:root:[233]	valid_0's ndcg@5: 0.389531
INFO:root:[234]	valid_0's ndcg@5: 0.38979
INFO:root:[235]	valid_0's ndcg@5: 0.38962
INFO:root:[236]	valid_0's ndcg@5: 0.389516
INFO:root:[237]	valid_0's ndcg@5: 0.389413
INFO:root:[238]	valid_0's ndcg@5: 0.389435
INFO:root:[239]	valid_0's ndcg@5: 0.389384
INFO:root:[240]	valid_0's ndcg@5: 0.389363
INFO:root:[241]	valid_0's ndcg@5: 0.389586
INFO:root:[242]	valid_0's ndcg@5: 0.38959
INFO:root:[243]	valid_0's ndcg@5: 0.389521
INFO:root:[244]	valid_0's ndcg@5: 0.389482
INFO:root:[245]	valid_0's ndcg@5: 0.38964
INFO:root:[246]	valid_0's ndcg@5: 0.389699
INFO:root:[247]	valid_0's ndcg@5: 0.389728
INFO:root:[248]	valid_0's ndcg@5: 0.389821
INFO:root:[249]	valid_0's ndcg@5: 0.390014
INFO:root:[250]	valid_0's ndcg@5: 0.390009
INFO:root:[251]	valid_0's ndcg@5: 0.390102
INFO:root:[252]	valid_0's ndcg@5: 0.389976
INFO:root:[253]	valid_0's ndcg@5: 0.389771
INFO:root:[254]	valid_0's ndcg@5: 0.389782
INFO:root:[255]	valid_0's ndcg@5: 0.389927
INFO:root:[256]	valid_0's ndcg@5: 0.389925
INFO:root:[257]	valid_0's ndcg@5: 0.389897
INFO:root:[258]	valid_0's ndcg@5: 0.390194
INFO:root:[259]	valid_0's ndcg@5: 0.390131
INFO:root:[260]	valid_0's ndcg@5: 0.390175
INFO:root:[261]	valid_0's ndcg@5: 0.390208
INFO:root:[262]	valid_0's ndcg@5: 0.390206
INFO:root:[263]	valid_0's ndcg@5: 0.390423
INFO:root:[264]	valid_0's ndcg@5: 0.390461
INFO:root:[265]	valid_0's ndcg@5: 0.390449
INFO:root:[266]	valid_0's ndcg@5: 0.390492
INFO:root:[267]	valid_0's ndcg@5: 0.390443
INFO:root:[268]	valid_0's ndcg@5: 0.390486
INFO:root:[269]	valid_0's ndcg@5: 0.390601
INFO:root:[270]	valid_0's ndcg@5: 0.390719
INFO:root:[271]	valid_0's ndcg@5: 0.390772
INFO:root:[272]	valid_0's ndcg@5: 0.390686
INFO:root:[273]	valid_0's ndcg@5: 0.390718
INFO:root:[274]	valid_0's ndcg@5: 0.390755
INFO:root:[275]	valid_0's ndcg@5: 0.390624
INFO:root:[276]	valid_0's ndcg@5: 0.390632
INFO:root:[277]	valid_0's ndcg@5: 0.390614
INFO:root:[278]	valid_0's ndcg@5: 0.390644
INFO:root:[279]	valid_0's ndcg@5: 0.390663
INFO:root:[280]	valid_0's ndcg@5: 0.39078
INFO:root:[281]	valid_0's ndcg@5: 0.390744
INFO:root:[282]	valid_0's ndcg@5: 0.390806
INFO:root:[283]	valid_0's ndcg@5: 0.39077
INFO:root:[284]	valid_0's ndcg@5: 0.390587
INFO:root:[285]	valid_0's ndcg@5: 0.390643
INFO:root:[286]	valid_0's ndcg@5: 0.390723
INFO:root:[287]	valid_0's ndcg@5: 0.390779
INFO:root:[288]	valid_0's ndcg@5: 0.390666
INFO:root:[289]	valid_0's ndcg@5: 0.390603
INFO:root:[290]	valid_0's ndcg@5: 0.390632
INFO:root:[291]	valid_0's ndcg@5: 0.390606
INFO:root:[292]	valid_0's ndcg@5: 0.390647
INFO:root:[293]	valid_0's ndcg@5: 0.390704
INFO:root:[294]	valid_0's ndcg@5: 0.3907
INFO:root:[295]	valid_0's ndcg@5: 0.390693
INFO:root:[296]	valid_0's ndcg@5: 0.390726
INFO:root:[297]	valid_0's ndcg@5: 0.390856
INFO:root:[298]	valid_0's ndcg@5: 0.390689
INFO:root:[299]	valid_0's ndcg@5: 0.390751
INFO:root:[300]	valid_0's ndcg@5: 0.390709
